Nom de l'entreprise,Domaine de compétences,Filière,Stages Proposés,Année de création,Nombre d'employés,Chiffre d'Affaires
Segula Technologies,"Automobile, aéronautique, énergie, ferroviaire, naval, pharmacie, oil and gas",Elec,Industrial Planner - Technicien Méthodes - Ingénieur Qualité Projet,1985,13 000,23 M€ (2022)
SERMA,"Aéronautique, Spatial, Ferroviaire, Militaire, Défense, Automobile, Télécom, Industrie, Médical",Elec,"Ingénieur sureté de fonctionnement logiciel, Ingénieur sureté de fonctionnement système, Ingénieur sureté de fonctionnement matériel, Ingénieur en FPGA, Ingénieur en conception d'ASIC",1991,1300,170 M€
Schlumberger,Industrie énergétique,Elec,,1926,96000,26 M€ (2022)
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,Elec,Bientôt transmis,1979,18 000,1 Milliard € (2022)
TDM,"Aéronautique, Equipements vidéo embarqués, Anti-missile",Elec,"Eléve ingénieur en VHDL, Eléve ingénieur en électronique hardware et architecture électronique, Eléve ingénieur en logiciel embarqué c sous Linux",1994,30,"3,5 M€"
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",Elec,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
Technology and Strategy Group,"Conseil en Ingénierie, Automobile, Défense, Biomédical, Banquaire, Luxe",Elec,,2008,3500,180 M€ (2019)
APSIDE,"Industrie, Aéronautique, Défense, Informatique, Bancaire",Matméca,,1976,3000,220 M€
Artelia,"Ingénierie de la mobilité de l'eau, de l'energie, du bâtiment et de l'industrie",Matméca,"Ingénieur/Ingénieure conduite de projet MOEx, Ingénieur / Ingénieure suivi de travaux - Projets Résidentiels et Mixtes, tage de Césure - Ingénieur / Ingénieure - Projets de Façades Légères & Verrières, Outils Conception Environnementale,Ingénieur / Ingénieure d'études CVC, Stage Innovation et Ouvrages d’art F/H, Stage - Chef/Cheffe de projet AMO Programmation, Stage Ingénieur/ Ingénieure Génie Industriel",2010,7300,833 M€
Bee Engineering,"Infrastructures, Industrie de l'énergie et des procédés, des transports",Matméca,Pas de Stage,2010,950,67 M€
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",Matméca,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
Digistrat Consulting,Conseil en Technologies et solutions innovantes pour le secteur de la finance de marché,Matméca,"Offre de stage PFE Développeur Java Backend, Offre de stage PFE Commando FO Risk/PnL",2017,40,4 M€
Digital Production Simulation,"Automobile, Aéronautique, Défense, Ferroviaire",Matméca,"Ingénieur conception PLM, Ingénieur Calcul (modélisation et simulation)",1997,140,11 M€
Exoes,"Transport, Thermique",Matméca,"Conception mécanique, essais, conception de banc d'essais , simulation mécanique, themique",2009,40,5 M€
ECM,"Conseil en Technologies, aéronautique, automobile, défense, navale, ferroviaire, énergie",Matméca,"Ingénieur Méthodes, Ingénieur Conception, Ingénieur Calcul",2004,450,25 M € (2022)
Expleo France,Conseil,Matméca,,2017,13 500,903 M €
Fortil,"Aéronautique, Spatial, Défense, Automobile, Ferroviaire, Energie, Digital, Santé",Matméca,Reconception d’une batterie pour véhicule électrique demandant de fortes puissances,2009,2000,1 M€ (2022)
Ingeliance,"Aéronautique & Spatial, Défense, Naval, Énergie, Transport & Biens d’équipement, Industrie des procédés",Matméca,,1998,700,40 M€ (2022)
Murex,Editeur de logiciels pour la finance,Matméca,"Client Services : Post Trade - Collateral Management, Trading - Validation de Calibration de Courbes dans le Forward Space, Trading - Validation de Produits LPI et Mise en Place d'Outils de Pricing, Trading - Validation Risk Based Profit & Loss, Trading FXO - Attribution de P&L pour des Produits Dérivés de Change, Trading Investment Management Compliance, Trading FX Cash & Derivatives, Market Risk - Validation Time Series & Scenarios                                                Produit Finance : Produits Financiers du Portefeuille Bancaire (3A), Assistant Product Manager (2A), PES - Securities Finance (3A), Projection des Revenus du Portefeuille Bancaire (3A), Risk-Based Profit & Loss pour Dérivés Actions, Mise en Place d'un Outil de Validation de Modèles - Module Equity Derivatives, Model Validation (3A), Consultant Fonctionnel et Produit - Front Office FX Cash (3A), XVA/PFE Analytics Solutions, FIX Orchestra : State of the Art                                        Développement Informatique : Quant - Reinforcement Learning & Local Volatility Calibration / Extension of Forward Market Model with Stochastic Volatility /Deep Learning for Large Time Step Monte Carlo Simulations / Physics-Informed Neural Networks/ Large Time Step Monte Carlo Simulation With Stochastic Volatility Model (2A), Dev Java - Scan Book Improvements (2A)/  Realtime Portofolio Management Services / Mxopenconnect Maven Plugins / Monitoring Activity Across Multiple Services / Automation of Aggregation Performance Tests / ""Reinvent the Catching Mechanisms of Reference Data Objects"" / Fullstack Angular and Java Engineer, Dev Java/C++ - Reinvent the Market Risk Communications & Algorithms,  Dev C++ / Refacturing du Module de Pricing / Position Evaluation Chain / Historization of Scenarios / , Dev - Improvement of The Market Data Service Architecture / Développement d'un Débugger pour le Langage Propriétaire MSL, Python - Dashboarding Solution for CI Server and Team KPIS (2A), WEB : Développement d'un Outil d'Aide à la Décision pour la Définition des Roadmaps / Développement d'un Configurateur de Vue",1986,2 700,710 M € (2022)
Naval Group,"Industrie Navale de Défense, Energies Marines Renouvelables, Nucléaire Civil",Matméca,,1631,15 000,"3,7 M€ (2022)"
Onet Technologies,Energie nucléaire ,Matméca,Ingénieur Simulation Numérique ,1860,2 900,260 M€ (2022)
Safran Electronics & Defense,"Aéronautique, défense, spatial",Matméca,,1925,10 000,19 Milliards € (2022)
Schlumberger,Industrie énergétique,Matméca,,1926,96000,26 M€ (2022)
Segula Technologies,"Automobile, aéronautique, énergie, ferroviaire, naval, pharmacie, oil and gas",Matméca,Industrial Planner - Technicien Méthodes - Ingénieur Qualité Projet,1985,13 000,23 M€ (2022)
Sopra Steria,"Conseil, services numériques, édition de logiciels",Matméca,"Dev Java, Data Analyst, Business Analyst",1968,50 000,"4,4 Milliards € (2019)"
Stilog Ist,"Aéronautique, Défense, Mécanique, Energie, Informatique",Matméca,"Stage ""Perfos Ansys Workbench"", Stage « Refonte solveur de post traitement de résultats Eléments finis », Stage "" 3D OpenGL""",1991,152,14 M€
TechnicAtome,"Nucléaire, armée, hydraulique, neutronique, architecture système",Matméca,Stages proposés dans l'ingénierie nucléaire,1972,2 000,500 M € (2022)
XRays Trading,Ingénierie en Finance de Marché,Matméca,Ingénieur Dev / Ingénieur Prod,2004,40,"4,4 M € (2022)"
AFD Technologies,Conseil en Transformation Digitale,Télécom,"Dev Java ou React, Chef de Projet",1998,2 000,51 M€ (2022)
Ausy,Technologie Digitale,Télécom,Développeurs Fullstack,1989,25 000,253 M€ (2022)
BeTomorrow,"Cloud, mobile, web, architecture logicielle, inteliigence artificielle, réalité augmentée, design et loT, data engineering",Télécom,Dév mobile et Front-End - Dev Back-End - Dev Data BI - Dev Fullstack - IA/LLM,2002,80,7 M€ (2022)
Bouygues Telecom,"Innovation technologiques, télécommunications / réseau, IT, big data, marketing, commerce, finance, achats, juridique",Télécom,Data - IA - Chef de Projets - Déploiement - Développement - Ingénieur Réseau - Télécommunications - Architecture,1994,10 000,7 M € (2022)
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",Télécom,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
C Discount,E-commerce,Télécom,Administrateur Système & Réseau - Dev XP Client - Dev Net & React -  Ingénieur d'études - Software Engineer Net & React - Dev Data Engineer - ,1998,2 000,"3,5 Milliards € (2022)"
Expleo France,Conseil,Télécom,,2017,13 500,903 M €
LGM,"Conception, Développement, Test et Intégration d'équipements électroniques complexes",Télécom,,2007,200,150 M€ 
Log'n'line,"Développement web, conseil, Formations, Cloud, Produit, Entreprenariat",Télécom,,2016,8, 600 k€
NXP Semiconductors,"Automotive, IoT, Connectivité et sécurité, informatique industrielle, micro électronique, systèmes embarqués, traitement du signal",Télécom,"Ingénieur, Assistant Ingénieur",2006,1000,12 M€ (2022
One Point,"Secteur du numérique, Energie, Vente, Télécommunication, Secteur public, Médias",Télécom,"Cybersécuité, Développeurs JAVA",2002,3300,500 M€
Orange,"Opérateur numérique, services financiers mobiles, cybersécurité, réseaux, IA/Data, cloud, cybersécurité",Télécom,,1988,140 000,42 Milliards € (2022)
Segula Technologies,"Automobile, aéronautique, énergie, ferroviaire, naval, pharmacie, oil and gas",Télécom,Industrial Planner - Technicien Méthodes - Ingénieur Qualité Projet,1985,13 000,23 M€ (2022)
SERMA,"Aéronautique, Spatial, Ferroviaire, Militaire, Défense, Automobile, Télécom, Industrie, Médical",Télécom,"Ingénieur sureté de fonctionnement logiciel, Ingénieur sureté de fonctionnement système, Ingénieur sureté de fonctionnement matériel, Ingénieur en FPGA, Ingénieur en conception d'ASIC",1991,1300,170 M€
Société pour l'Informatique Industrielle,Conseil en Technologies et des Services du Numérique,Télécom,Bientôt transmis,1979,18 000,1 Milliard € (2022)
Solutec,"Télécommunication et médias, Industrie, Transport, Services, Grande distribution, Energies, Banques et Assurances, Santé",Télécom,"Développement Applicatif (Web), Développement Applicatif (Mobile), DevOps / Infra, Gestion de projet, Innovation",1991,1500,91 M€
Sopra Steria,"Conseil, services numériques, édition de logiciels",Télécom,"Dev Java, Data Analyst, Business Analyst",1968,50 000,"4,4 Milliards € (2019)"
3D Plus,Spatial,Info,,1995,270,70 M€
4SH,"Informatique, Développement, UX",Info,"Développeur·se (Kotlin, Java, MongoDB, Kubernetes, ...), Product Owner, Ingénieur·e Infrastructure Cloud",2007,92,"7,6 M€"
Accenture,"Conseil en Stratégies, conseil en management, conseil en technologies",Info,,1989,700 000,50 Milliards $ (2021)
Advens,Cybersécurité,Info,,2000,300,30 M€ (2022)
AFD Technologies,Conseil en Transformation Digitale,Info,"Dev Java ou React, Chef de Projet",1998,2 000,51 M€ (2022)
Airbus Operations ,Développement et Maintenance de Logiciels,Info,,1998,135 000,70 Milliards € (2022)
APSIDE,"Industrie, Aéronautique, Défense, Informatique, Bancaire",Info,,1976,3000,220 M€
Artelia,"Ingénierie de la mobilité de l'eau, de l'energie, du bâtiment et de l'industrie",Info,"Ingénieur/Ingénieure conduite de projet MOEx, Ingénieur / Ingénieure suivi de travaux - Projets Résidentiels et Mixtes, tage de Césure - Ingénieur / Ingénieure - Projets de Façades Légères & Verrières, Outils Conception Environnementale,Ingénieur / Ingénieure d'études CVC, Stage Innovation et Ouvrages d’art F/H, Stage - Chef/Cheffe de projet AMO Programmation, Stage Ingénieur/ Ingénieure Génie Industriel",2010,7300,833 M€
Asobo Studio,Création de jeux vidéos,Info,Ingénieur Dev Mobile/AR - Machine Learning/Generative - Programmeur Engine - Programmeur Gameplay - Qualité Logicielle,2002,290,23 M€ (2022)
AT Internet,Analyse Digitale,Info,Evolution/Optimisation des différents modes d'accès aux solutions de l'entreprise - Dev back-End - Evolution/Optimisation API - Enrichissement de la donnée - Evolution/Optimisation des modes de visualisation de la donnée,1995,200,19 M€ (2022)
Atos,Supercalculateurs / Cybersécurité / Cloud,Info,Consulter leur site Internet,1997,112 000,11 Milliards € (2022)
Ausy,Technologie Digitale,Info,Développeurs Fullstack,1989,25 000,253 M€ (2022)
Axyus,"Servies du secteur public, inteliigence artificielle, performances applicatives, analyse de marché, ",Info,Utilisation de l'IA Génératrice pour l'Optimisation et l'Automatisation du Dev - Etude de Marché des Outils d'APM et Mise en Oeuvre dans le Squelette des Applicatifs - Conception et Industrialisation d'une Solution d'Habilitations Transverses à l'Entreprise avec Gestion du Vieillissement,2000,190,"22,5 M € (2022)"
Betclic,Jeux d'argent en ligne,Info,Développeur Net / Kotlin / Angular / iOS / Android - Data Engineer - QA Engineer,2005,900,500 M€ (2022)
BeTomorrow,"Cloud, mobile, web, architecture logicielle, inteliigence artificielle, réalité augmentée, design et loT, data engineering",Info,Dév mobile et Front-End - Dev Back-End - Dev Data BI - Dev Fullstack - IA/LLM,2002,80,7 M€ (2022)
Bouygues Telecom,"Innovation technologiques, télécommunications / réseau, IT, big data, marketing, commerce, finance, achats, juridique",Info,Data - IA - Chef de Projets - Déploiement - Développement - Ingénieur Réseau - Télécommunications - Architecture,1994,10 000,7 M € (2022)
CapGemini Technology,"Aéronautique, spatial, assurances, automobile, banque / finances, énergies et environnement, high tech, industrie, santé  sciences de la vie",Info,Dev JAVA - Ingénieur Industrie 4.0 - Ingénieur qualité automatisation de tests - PMO Chef de projet - Tests de Performance - Analyste Réseaux - Ingénieur systèmes - Administrateur Systèmes et Réseaux,1967,357 000,22 Milliards € (2023)
C Discount,E-commerce,Info,Administrateur Système & Réseau - Dev XP Client - Dev Net & React -  Ingénieur d'études - Software Engineer Net & React - Dev Data Engineer - ,1998,2 000,"3,5 Milliards € (2022)"
CELAD,"Banque, Assurance, Transport, Santé, Aéronautique, Spatial, Commerce, Distribution, Télécommunication, Energie, Administration",Info,Pas de Stage,1990,1500,125 M€
CGI France,"Développement, conseil en management/stratégie opérationnelle/transformation digitale cybersécurité, big data, IA",Info,Evolution d'un SI dans le secteur bancaire - Dev Java Angular Full Stack - Dev Mobile - ,1976,91 000,"12,87 Milliards $Canadiens (2022)"
Coopengo,Edition de logiciels,Info,Dev back-end Python,2012,45,"4,4 M€ (2021)"
Dedalus,E-Santé,Info,Pas de Stage,1982,7322,822 M€
Digistrat Consulting,Conseil en Technologies et solutions innovantes pour le secteur de la finance de marché,Info,"Offre de stage PFE Développeur Java Backend, Offre de stage PFE Commando FO Risk/PnL",2017,40,4 M€
Digital Production Simulation,"Automobile, Aéronautique, Défense, Ferroviaire",Info,"Ingénieur Dev logiciel scientifique, Ingénieur Dev Full Stack, Ingénieur Data Scientist",1997,140,11 M€
Exail,"Robotique, Aéronautique, Spatial, Photonique, Maritime, Navigation",Info,,2022,1500,250 M€
Expleo France,Conseil,Info,,2017,13 500,903 M €
Finaxys,"Conseil IT, Machine Learning, Blockchain, Data / Cloud, DevSecOps",Info,Dev Fullstack - Data Engineer - Infénieur DevOps - ,2003,350,39 M € (2022)
Fortil,"Aéronautique, Spatial, Défense, Automobile, Ferroviaire, Energie, Digital, Santé",Info,Reconception d’une batterie pour véhicule électrique demandant de fortes puissances,2009,2000,1 M€ (2022)
Gestform,Sous traitance administrative,Info,"Stage Développeur, Stage ingénierie cognitive",1986,420,(association)
Ippon Technologies,"Conseil et Expertise en Solutions Digitales Innovantes, fullstack, cloud, devops, data, agilité, architecture, mobile, produit",Info,,2002,650,78 M€ (2022)
Log'n'line,"Développement web, conseil, Formations, Cloud, Produit, Entreprenariat",Info,,2016,8, 600 k€
MADIC,"Energie, environnement automobile, Paiement sans surveillance, Parcours client",Info,,1971,450,2 M€
Margo Conseil,"Finance des marchés, Assurance, Energie, Industrie",Info,"Software Engineer Java, C#, C++, Python, Fullstack Software Engineer, Data Engineer, Data Scientist",2005,400,43 M€
Murex,Editeur de logiciels pour la finance,Info,"Client Services : Post Trade - Collateral Management, Trading - Validation de Calibration de Courbes dans le Forward Space, Trading - Validation de Produits LPI et Mise en Place d'Outils de Pricing, Trading - Validation Risk Based Profit & Loss, Trading FXO - Attribution de P&L pour des Produits Dérivés de Change, Trading Investment Management Compliance, Trading FX Cash & Derivatives, Market Risk - Validation Time Series & Scenarios                                                Produit Finance : Produits Financiers du Portefeuille Bancaire (3A), Assistant Product Manager (2A), PES - Securities Finance (3A), Projection des Revenus du Portefeuille Bancaire (3A), Risk-Based Profit & Loss pour Dérivés Actions, Mise en Place d'un Outil de Validation de Modèles - Module Equity Derivatives, Model Validation (3A), Consultant Fonctionnel et Produit - Front Office FX Cash (3A), XVA/PFE Analytics Solutions, FIX Orchestra : State of the Art                                        Développement Informatique : Quant - Reinforcement Learning & Local Volatility Calibration / Extension of Forward Market Model with Stochastic Volatility /Deep Learning for Large Time Step Monte Carlo Simulations / Physics-Informed Neural Networks/ Large Time Step Monte Carlo Simulation With Stochastic Volatility Model (2A), Dev Java - Scan Book Improvements (2A)/  Realtime Portofolio Management Services / Mxopenconnect Maven Plugins / Monitoring Activity Across Multiple Services / Automation of Aggregation Performance Tests / ""Reinvent the Catching Mechanisms of Reference Data Objects"" / Fullstack Angular and Java Engineer, Dev Java/C++ - Reinvent the Market Risk Communications & Algorithms,  Dev C++ / Refacturing du Module de Pricing / Position Evaluation Chain / Historization of Scenarios / , Dev - Improvement of The Market Data Service Architecture / Développement d'un Débugger pour le Langage Propriétaire MSL, Python - Dashboarding Solution for CI Server and Team KPIS (2A), WEB : Développement d'un Outil d'Aide à la Décision pour la Définition des Roadmaps / Développement d'un Configurateur de Vue",1986,2 700,710 M € (2022)
Naval Group,"Industrie Navale de Défense, Energies Marines Renouvelables, Nucléaire Civil",Info,,1631,15 000,"3,7 M€ (2022)"
NXP Semiconductors,"Automotive, IoT, Connectivité et sécurité, informatique industrielle, micro électronique, systèmes embarqués, traitement du signal",Info,"Ingénieur, Assistant Ingénieur",2006,1000,12 M€ (2022
One Point,"Secteur du numérique, Energie, Vente, Télécommunication, Secteur public, Médias",Info,"Cybersécuité, Développeurs JAVA",2002,3300,500 M€
Orange,"Opérateur numérique, services financiers mobiles, cybersécurité, réseaux, IA/Data, cloud, cybersécurité",Info,,1988,140 000,42 Milliards € (2022)
